bikes_allowed,block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,wheelchair_accessible
,S1,1,1,MJV,Les Pradeaux - Le Defend,Les Pradeaux - Le Defend,trip:1:0,1
,S1,1,1,MJV,Les Pradeaux - Le Defend,Les Pradeaux - Le Defend,trip:1:1,1
,S1,1,1,MJV,Les Pradeaux - Le Defend,Les Pradeaux - Le Defend,trip:1:2,1
1,S1,1,1,MJV,Les Pradeaux - Le Defend,Les Pradeaux - Le Defend,trip:1:3,
,S1,0,1,MJV,Le Defend - Les Pradeaux,Le Defend - Les Pradeaux,trip:2:0,1
,S1,0,1,MJV,Le Defend - Les Pradeaux,Le Defend - Les Pradeaux,trip:2:1,1
,S1,0,1,MJV,Le Defend - Les Pradeaux,Le Defend - Les Pradeaux,trip:2:2,1
,S1,0,1,MJV,Le Defend - Les Pradeaux,Le Defend - Les Pradeaux,trip:2:3,1
,S2,,2,D,Navette Marché 1,Le Defend - Les Pradeaux,trip:3:0,
,S2,,2,D,Navette Marché 1,Le Defend - Les Pradeaux,trip:3:1,
,S2,,2,D,Navette Marché 1,Le Defend - Les Pradeaux,trip:3:2,
,S2,,2,D,Navette Marché 1,Le Defend - Les Pradeaux,trip:3:3,
,S3,,2,D,Navette Marché 1,Le Defend - Les Pradeaux,trip:3:4,
,S4,,2,D,Navette Marché 1,Le Defend - Les Pradeaux,trip:3:5,
,S5,,2,D,Navette Marché 1,Le Defend - Les Pradeaux,trip:3:6,
,S6,,2,D,Navette Marché 1,Le Defend - Les Pradeaux,trip:3:7,
,S7,,2,D,Navette Marché 2,Le Defend - Les Pradeaux,trip:3:8,
