route_id,agency_id,route_short_name,route_long_name,route_type,continuous_pickup,continuous_drop_off
BO,BAI,ES BIO-IE ROE,BILBAO-ROSSLARE,4,1,1
HL,BAI,FR CER-GB POO,CHERBOURG-POOLE,4,1,1
HO,BAI,FR CER-IE ROE,CHERBOURG-ROSSLARE,4,1,1
HP,BAI,FR CER-GB PME,CHERBOURG-PORTSMOUTH,4,1,1
LH,BAI,GB POO-FR CER,POOLE-CHERBOURG,4,1,1
MP,BAI,FR SML-GB PME,ST MALO-PORTSMOUTH,4,1,1
NP,BAI,FR OUI-GB PME,OUISTREHAM-PORTSMOUTH,4,1,1
OH,BAI,IE ROE-FR CER,ROSSLARE-CHERBOURG,4,1,1
OB,BAI,IE ROE-ES BIO,ROSSLARE-BILBAO,4,1,1
OS,BAI,IE ROE-ES SDR,ROSSLARE-SANTANDER,4,1,1
PN,BAI,GB PME-FR OUI,PORTSMOUTH-OUISTREHAM,4,1,1
PM,BAI,GB PME-FR SML,PORTSMOUTH-ST MALO,4,1,1
PS,BAI,GB PME-ES SDR,PORTSMOUTH-SANTANDER,4,1,1
PH,BAI,GB PME-FR CER,PORTSMOUTH-CHERBOURG,4,1,1
PB,BAI,GB PME-ES BIO,PORTSMOUTH-BILBAO,4,1,1
SP,BAI,ES SDR-GB PME,SANTANDER-PORTSMOUTH,4,1,1
RY,BAI,FR ROS-GB PLY,ROSCOFF-PLYMOUTH,4,1,1
YR,BAI,GB PLY-FR ROS,PLYMOUTH-ROSCOFF,4,1,1
YM,BAI,GB PLY-FR SML,PLYMOUTH-ST MALO,4,1,1
AP,BAI,FR LEH-GB PME,LE HAVRE-PORTSMOUTH,4,1,1
BP,BAI,ES BIO-GB PME,BILBAO-PORTSMOUTH,4,1,1
CR,BAI,IE ORK-FR ROS,CORK-ROSCOFF,4,1,1
MY,BAI,FR SML-GB PLY,ST MALO-PLYMOUTH,4,1,1
PA,BAI,GB PME-FR LEH,PORTSMOUTH-LE HAVRE,4,1,1
RC,BAI,FR ROS-IE ORK,ROSCOFF-CORK,4,1,1
SY,BAI,ES SDR-GB PLY,SANTANDER-PLYMOUTH,4,1,1
YS,BAI,GB PLY-ES SDR,PLYMOUTH-SANTANDER,4,1,1
