route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
30,1,30,MONTFAVET - AVIGNON TGV,3,,,
11,1,11,ST SATURNIN - AVIGNON POSTE,3,,,
04,1,04,P+R AGROPARC - AVIGNON POSTE,3,,,
05,1,05,VILLENEUVE - AVIGNON POSTE,3,,,
14,1,14,LE PONTET LE LAC - ST CHAMAND,3,,,
06,1,06,AVIGNON POSTE - ST GABRIEL,3,,,
15,1,15,SAZE - PORTE DE L'OULLE,3,,,
07,1,07,CANNONETS - PALAIS DE JUSTICE,3,,,
16,1,16,ROCHEFORT STADE / LES ANGLES - AVIGNON POSTE,3,,,
08,1,08,ENTRAIGUES / VEDENE - PORTE DE L'OULLE,3,,,
17,1,17,ROCHEFORT COLLEGE HAIGNERE - LA BEGUDE,3,,,
09,1,09,MORIERES / AGRICOLA - AVIGNON POSTE,3,,,
19,1,19,LYCEE JEAN VILAR - LES ANGLES 2EME DB,3,,,
20,1,20,AVIGNON TGV - P+R PIOT,3,,,
10,1,10,AVIGNON POSTE - AVIGNON TGV,3,,,
A2,1,A2,AVIGNON POSTE - LEA VINCENSINI,3,,,
A4,1,A4,AVIGNON - COLLEGE ST MICHEL - AGROPARC,3,,,
A5,1,A5,LYCEE RENE CHAR - COLLEGE ST MICHEL (SOUVINE),3,,,
AV1,1,AV1,FONT D’IRAC - LYCEE JEAN VILAR / COLLEGE LE MOURION,3,,,
AV2,1,AV2,BELLEVUE / PRIADES - CLG LE MOURION / LYC J. VILAR,3,,,
C2,1,C2,HOPITAL - AVIGNON NORD BULD 'AIR,3,,,
E1,1,E1,ENTRAIGUES - AUBANEL / AVIGNON,3,,,
E2,1,E2,ENTRAIGUES / VEDENE - CLG J. VERNE / LYCEE R. CHAR,3,,,
M1,1,M1,MONTFAVET - COLLEGE A. TAVAN / LYCEE R. CHAR,3,,,
M2,1,M2,ST CHAMAND / MONTFAVET - COLLEGE TAVAN,3,,,
M3,1,M3,MONTFAVET / ST JEAN - AUBANEL / ST DOMINIQUE,3,,,
MO1,1,MO1,VEDENE / MORIERES - AUBANEL / ST DOMINIQUE,3,,,
MO2,1,MO2,MORIERES - LYCEE R. CHAR - AVIGNON,3,,,
P2,1,P2,P+R ITALIENS - LIMBERT,3,,,
R2,1,R2,ROCHEFORT - COLLEGE LE MOURION - LYCEE JEAN VILAR,3,,,
R3,1,R3,ROCHEFORT - LYCEE J. VILAR,3,,,
R4,1,R4,ROCHEFORT - LYCEE J. VILAR / COLLEGE LE MOURION,3,,,
R6,1,R6,ROCHEFORT LA BEGUDE - FONT DES CAVEN,3,,,
S1,1,S1,JONQUERETTES / ST SATURNIN - AUBANEL / ST DOMINIQUE,3,,,
S2,1,S2,VED / ST SAT / MOR / MTFAVET- CAMPUS SC. ET TECHN.,3,,,
S3,1,S3,JONQUERETTES / ST SATURNIN - COLLEGE A. FRANK,3,,,
SR1,1,SR1,SAZE - COLLEGE C. HAIGNERE,3,,,
SR2,1,SR2,SAZE - COLLEGE LE MOURION / LYCEE J. VILAR,3,,,
V1,1,V1,VEDENE - AUBANEL / ST DOMINIQUE,3,,,
V2,1,V2,VEDENE - COLLEGE LOU VIGNARES,3,,,
V3,1,V3,VEDENE - LYCEE R. CHAR,3,,,
VL1,1,VL1,VELLERON - LYCEE RENE CHAR,3,,,
23,1,23,BARTHELASSE - ST LAZARE,3,,,
24,1,24,JARDINS NEUFS - ST LAZARE,3,,,
25,1,25,PUJAUT - AVIGNON POSTE,3,,,
26,1,26,ROQUEMAURE / SAUVETERRE- AVIGNON POSTE,3,,,
PJ1,1,PJ1,PUJAUT - LYCEE J. VILAR / CLG LE MOURION et SANCTA MARIA,3,,,
RO1,1,RO1,ROQUEMAURE / SAUVETERRE - LYCEE J. VILAR / CLG LE MOURION,3,,,
RO2,1,RO2,ROQUEMAURE - COLLEGE PAUL VALERY,3,,,
SV1,1,SV1,SAUVETERRE - COLLEGE PAUL VALERY,3,,,
V4,1,V4,VEDENE / ST SATURNIN / MORIERES - LYCEE AGRICOLE / AGROPARC,3,,,
12,1,12,AVIGNON NORD - ST CHAMAND,3,,,
13,1,13,LE PONTET LE LAC - AEROPORT,3,,,
18,1,18,GRAND ANGLES - PORTE DE L'OULLE,3,,,
22,1,22,CAUMONT - ST LAZARE,3,,,
C3,1,C3,P+R AGROPARC - ST LAZARE,3,,,
T1,1,T1,ST CHAMAND - ST ROCH,0,,,
CA1,1,CA1,CAUMONT - LYCEE R. CHAR,3,,,
27,1,27,ROCHEFORT CHEMIN DE LA PLAINE - AVIGNON POSTE,3,,,
BAL,1,BAL,BALADINE,3,,,
P1,1,P1,P+R PIOT - PORTE DE L'OULLE,3,,,
V5,1,V5,VEDENE - CLG ALPHONSE TAVAN,3,,,
CZI,1,CZI,CITYZEN P+R ITALIENS,3,,,
CZR,1,CZR,CITYZEN REPUBLIQUE,3,,,
NC,1,NC,NAVETTE CAMPING,3,,,
LP2,1,LP2,LE PONTET - LYCEE R. CHAR,3,,,
907,1,907,ZOU - CAUMONT - PEM AVIGNON,3,,,
NM,1,NM,NAVETTE MARCHE FONTCOUVERTE,3,,,
920,1,920,VELLERON / MORIERES - ST CHAMAND,3,,,
