stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
1,REU_BDNEFLES,Bois de nèfles,-20.915283,55.47799,1,
1PASS_MER,PAP1_BDNEFLES_MER,Bois de nèfles,-20.915283,55.47799,0,1
5PASS_MONT,PAP1_BDNEFLES_MONT,Bois de nèfles,-20.915283,55.47799,0,1
2,PAP1_BANCOUL,Bancoul,-20.908932,55.479692,1,
2PASS_MER,PAP1_BANCOUL_MER,Bancoul,-20.908932,55.479692,0,2
4PASS_MONT,PAP1_BANCOUL_MONT,Bancoul,-20.908932,55.479692,0,2
3,PAP1_MOUFIA,Moufia,-20.906055,55.483562,1,
3PASS_MER,PAP1_MOUFIA_MER,Moufia,-20.906055,55.483562,0,3
3PASS_MONT,PAP1_MOUFIA_MONT,Moufia,-20.906055,55.483562,0,3
4,PAP1_CAMPUS,Campus,-20.900156,55.485932,1,
4PASS_MER,PAP1_CAMPUS_MER,Campus,-20.900156,55.485932,0,4
2PASS_MONT,PAP1_CAMPUS_MONT,Campus,-20.900156,55.485932,0,4
5,PAP1_CHAUDRON,Chaudron,-20.893682,55.487555,1,
5PASS_MER,PAP1_CHAUDRON_MER,Chaudron,-20.893682,55.487555,0,5
1PASS_MONT,PAP1_CHAUDRON_MONT,Chaudron,-20.893682,55.487555,0,5
