stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STP-CHJARASGIOLU,stp-chjarasgiolu,Chjarasgiolu,,42.289258,9.131608,,,0,1012264,,
STP-CHJARASGIOLU-R,stp-chjarasgiolu-r,Chjarasgiolu,,42.2891361,9.1315306,,,0,1012264,,
STP-CORTEGARE,stp-cortegare,Corti Gara,,42.302341,9.157054,,,0,1012259,,
STP-FAUBOURGSA,stp-faubourgsa,Faubourg Saint-Antoine,,42.301121,9.151477,,,0,1012262,,
STP-FAUBOURGSA-R,stp-faubourgsa-r,Faubourg Saint-Antoine,,42.30103,9.15274,,,0,1012262,,
STP-FRASSETA,stp-frasseta,A Frasseta,,42.26224,9.073133,,,0,1012270,,
STP-RIVISECCU,stp-riviseccu,Riviseccu,,42.264016,9.08892,,,0,1012268,,
STP-RIVISECCU-R,stp-riviseccu-r,Riviseccu,,42.2642028,9.0906222,,,0,1012268,,
STP-TUANI,stp-tuani,Tuani,,42.275596,9.107456,,,0,1012266,,
STP-TUANI-R,stp-tuani-r,Tuani,,42.2759611,9.1082361,,,0,1012266,,
1012259,2907,Corte Gare,,42.302341,9.157054,,,1,,,
1012262,2908,Faubourg Saint-Antoine,,42.301121,9.151477,,,1,,,
1012264,2909,Chjarasgiolu,,42.289258,9.131608,,,1,,,
1012266,2910,Tuani,,42.275596,9.107456,,,1,,,
1012268,2911,Riviseccu,,42.264016,9.08892,,,1,,,
1012270,2912,Frasseta,,42.26224,9.073133,,,1,,,
