trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
GNV-ITGOA-ITOLB-18:00-05:30,18:00:00,18:00:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITOLB-18:00-05:30,29:30:00,29:30:00,ITOLB,2,,1,0,,
GNV-ITGOA-ITOLB-19:30-07:00,19:30:00,19:30:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITOLB-19:30-07:00,31:00:00,31:00:00,ITOLB,2,,1,0,,
GNV-ITGOA-ITOLB-23:30-11:00,23:30:00,23:30:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITOLB-23:30-11:00,35:00:00,35:00:00,ITOLB,2,,1,0,,
GNV-ITGOA-ITPTO-10:00-22:00,10:00:00,10:00:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITPTO-10:00-22:00,22:00:00,22:00:00,ITPTO,2,,1,0,,
GNV-ITGOA-ITPTO-19:30-07:30,19:30:00,19:30:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITPTO-19:30-07:30,31:30:00,31:30:00,ITPTO,2,,1,0,,
GNV-ITGOA-ITPTO-23:00-11:00,23:00:00,23:00:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITPTO-23:00-11:00,35:00:00,35:00:00,ITPTO,2,,1,0,,
GNV-ITOLB-ITGOA-08:45-20:15,08:45:00,08:45:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITGOA-08:45-20:15,20:15:00,20:15:00,ITGOA,2,,1,0,,
GNV-ITOLB-ITGOA-19:30-07:00,19:30:00,19:30:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITGOA-19:30-07:00,31:00:00,31:00:00,ITGOA,2,,1,0,,
GNV-ITPTO-ITGOA-19:30-07:30,19:30:00,19:30:00,ITPTO,1,,0,1,,
GNV-ITPTO-ITGOA-19:30-07:30,31:30:00,31:30:00,ITGOA,2,,1,0,,
GNV-ITPTO-ITGOA-23:30-11:30,23:30:00,23:30:00,ITPTO,1,,0,1,,
GNV-ITPTO-ITGOA-23:30-11:30,35:30:00,35:30:00,ITGOA,2,,1,0,,
GNV-ITCVV-ITOLB-10:00-21:30,10:00:00,10:00:00,ITCVV,1,,0,1,,
GNV-ITCVV-ITOLB-10:00-21:30,21:30:00,21:30:00,ITOLB,2,,1,0,,
GNV-ITCVV-ITOLB-14:00-01:30,14:00:00,14:00:00,ITCVV,1,,0,1,,
GNV-ITCVV-ITOLB-14:00-01:30,25:30:00,25:30:00,ITOLB,2,,1,0,,
GNV-ITCVV-ITPMO-19:00-07:00,19:00:00,19:00:00,ITCVV,1,,0,1,,
GNV-ITCVV-ITPMO-19:00-07:00,31:00:00,31:00:00,ITPMO,2,,1,0,,
GNV-ITCVV-ITTRI-09:00-21:00,09:00:00,09:00:00,ITCVV,1,,0,1,,
GNV-ITCVV-ITTRI-09:00-21:00,21:00:00,21:00:00,ITTRI,2,,1,0,,
GNV-ITGOA-ITOLB-08:45-20:15,08:45:00,08:45:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITOLB-08:45-20:15,20:15:00,20:15:00,ITOLB,2,,1,0,,
GNV-ITGOA-ITOLB-19:00-06:30,19:00:00,19:00:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITOLB-19:00-06:30,30:30:00,30:30:00,ITOLB,2,,1,0,,
GNV-ITGOA-ITOLB-22:30-10:00,22:30:00,22:30:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITOLB-22:30-10:00,34:00:00,34:00:00,ITOLB,2,,1,0,,
GNV-ITGOA-ITOLB-23:59-11:29,23:59:00,23:59:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITOLB-23:59-11:29,35:29:00,35:29:00,ITOLB,2,,1,0,,
GNV-ITGOA-ITPTO-19:00-07:00,19:00:00,19:00:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITPTO-19:00-07:00,31:00:00,31:00:00,ITPTO,2,,1,0,,
GNV-ITGOA-ITPTO-23:30-11:30,23:30:00,23:30:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITPTO-23:30-11:30,35:30:00,35:30:00,ITPTO,2,,1,0,,
GNV-TNLGN-ITPMO-23:00-11:00,23:00:00,23:00:00,TNLGN,1,,0,1,,
GNV-TNLGN-ITPMO-23:00-11:00,35:00:00,35:00:00,ITPMO,2,,1,0,,
GNV-ITNAP-ITTRI-13:30-01:30,13:30:00,13:30:00,ITNAP,1,,0,1,,
GNV-ITNAP-ITTRI-13:30-01:30,25:30:00,25:30:00,ITTRI,2,,1,0,,
GNV-ITOLB-ITCVV-09:00-20:30,09:00:00,09:00:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITCVV-09:00-20:30,20:30:00,20:30:00,ITCVV,2,,1,0,,
GNV-ITOLB-ITCVV-21:00-08:30,21:00:00,21:00:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITCVV-21:00-08:30,32:30:00,32:30:00,ITCVV,2,,1,0,,
GNV-ITOLB-ITGOA-10:00-21:30,10:00:00,10:00:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITGOA-10:00-21:30,21:30:00,21:30:00,ITGOA,2,,1,0,,
GNV-ITOLB-ITGOA-18:00-05:30,18:00:00,18:00:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITGOA-18:00-05:30,29:30:00,29:30:00,ITGOA,2,,1,0,,
GNV-ITOLB-ITGOA-21:00-08:30,21:00:00,21:00:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITGOA-21:00-08:30,32:30:00,32:30:00,ITGOA,2,,1,0,,
GNV-ITOLB-ITGOA-23:30-11:00,23:30:00,23:30:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITGOA-23:30-11:00,35:00:00,35:00:00,ITGOA,2,,1,0,,
GNV-ITOLB-ITGOA-23:59-11:29,23:59:00,23:59:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITGOA-23:59-11:29,35:29:00,35:29:00,ITGOA,2,,1,0,,
GNV-ITPMO-ITCVV-18:00-06:00,18:00:00,18:00:00,ITPMO,1,,0,1,,
GNV-ITPMO-ITCVV-18:00-06:00,30:00:00,30:00:00,ITCVV,2,,1,0,,
GNV-ITPMO-TNLGN-11:00-23:00,11:00:00,11:00:00,ITPMO,1,,0,1,,
GNV-ITPMO-TNLGN-11:00-23:00,23:00:00,23:00:00,TNLGN,2,,1,0,,
GNV-ITPTO-ITGOA-09:30-21:30,09:30:00,09:30:00,ITPTO,1,,0,1,,
GNV-ITPTO-ITGOA-09:30-21:30,21:30:00,21:30:00,ITGOA,2,,1,0,,
GNV-ITPTO-ITGOA-10:00-22:00,10:00:00,10:00:00,ITPTO,1,,0,1,,
GNV-ITPTO-ITGOA-10:00-22:00,22:00:00,22:00:00,ITGOA,2,,1,0,,
GNV-ITTRI-ITCVV-02:00-14:00,02:00:00,02:00:00,ITTRI,1,,0,1,,
GNV-ITTRI-ITCVV-02:00-14:00,14:00:00,14:00:00,ITCVV,2,,1,0,,
GNV-ITTRI-ITCVV-23:59-11:59,23:59:00,23:59:00,ITTRI,1,,0,1,,
GNV-ITTRI-ITCVV-23:59-11:59,35:59:00,35:59:00,ITCVV,2,,1,0,,
GNV-ITTRI-ITNAP-02:00-14:00,02:00:00,02:00:00,ITTRI,1,,0,1,,
GNV-ITTRI-ITNAP-02:00-14:00,14:00:00,14:00:00,ITNAP,2,,1,0,,
GNV-ITOLB-ITCVV-23:59-11:29,23:59:00,23:59:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITCVV-23:59-11:29,35:29:00,35:29:00,ITCVV,2,,1,0,,
GNV-ITTRI-ITCVV-01:30-13:30,01:30:00,01:30:00,ITTRI,1,,0,1,,
GNV-ITTRI-ITCVV-01:30-13:30,13:30:00,13:30:00,ITCVV,2,,1,0,,
GNV-ITTRI-ITNAP-00:30-12:30,00:30:00,00:30:00,ITTRI,1,,0,1,,
GNV-ITTRI-ITNAP-00:30-12:30,12:30:00,12:30:00,ITNAP,2,,1,0,,
GNV-ITCVV-ITTRI-21:00-09:00,21:00:00,21:00:00,ITCVV,1,,0,1,,
GNV-ITCVV-ITTRI-21:00-09:00,33:00:00,33:00:00,ITTRI,2,,1,0,,
GNV-ITGOA-ITOLB-09:00-20:30,09:00:00,09:00:00,ITGOA,1,,0,1,,
GNV-ITGOA-ITOLB-09:00-20:30,20:30:00,20:30:00,ITOLB,2,,1,0,,
GNV-ITOLB-ITCVV-22:30-10:00,22:30:00,22:30:00,ITOLB,1,,0,1,,
GNV-ITOLB-ITCVV-22:30-10:00,34:00:00,34:00:00,ITCVV,2,,1,0,,
