route_id,agency_id,route_short_name,route_long_name,route_type
10,KEOL,10,LIGNE 10,0
11,KEOL,11,LIGNE 11,0
12,KEOL,12,LIGNE 12,0
13,KEOL,13,LIGNE 13,0
14,KEOL,14,LIGNE 14,0
15,KEOL,15,LIGNE 15,0
16,KEOL,16,LIGNE 16,0
5A,KEOL,5A,LIGNE 5A,0
5B,KEOL,5B,LIGNE 5B,0
6,KEOL,6,LIGNE 6,0
7,KEOL,7,LIGNE 7,0
8,KEOL,8,LIGNE 8,0
9,KEOL,9,LIGNE 9,0
CDV,KEOL,CDV,Coeur de ville,0
L,KEOL,L,Lianes,0
N1,KEOL,N1,Nemo 1 Bleu,0
N2,KEOL,N2,Nemo 2 Rouge,0
N3,KEOL,N3,Nemo 3 Verte,0
N4,KEOL,N4,Nemo 4 Jaune,0
NAVC,KEOL,NAVC,Navette cimetiere,0
NAVD,KEOL,NAVD,Navette Duclos marche,0
NAVS,KEOL,NAVS,Navette Ambonne marche,0
NMB1,KEOL,NMB1,St Sauveur < > Gare,0
T31,KEOL,T31,LIGNE T31,0
T36,KEOL,T36,LIGNE T36,0
T37,KEOL,T37,LIGNE T37,0
T38,KEOL,T38,LIGNE T38,0
T39,KEOL,T39,LIGNE T39,0
T40,KEOL,T40,LIGNE T40,0
T41,KEOL,T41,LIGNE T41,0
T42,KEOL,T42,LIGNE T42,0
T43,KEOL,T43,LIGNE T43,0
T44,KEOL,T44,LIGNE T44,0
T45,KEOL,T45,LIGNE T45,0
T47,KEOL,T47,LIGNE T47,0
T49,KEOL,T49,LIGNE T49,0
